year month day precipitation_mswep
1982 01 08 17.681
1982 01 09 8.148
1982 01 10 2.360
1982 01 11 12.043
1982 01 12 5.845
1982 01 13 0.752
1982 01 14 0.000
1982 01 15 0.000
1982 01 16 0.083
1982 01 17 6.289
1982 01 18 6.795
1982 01 19 11.495
1982 01 20 9.167
1982 01 21 35.667
1982 01 22 10.811
1982 01 23 37.127
1982 01 24 24.821
1982 01 25 4.504
1982 01 26 17.837
1982 01 27 70.686
1982 01 28 33.403
1982 01 29 26.162
1982 01 30 58.091
1982 01 31 19.912
1982 02 01 15.877
1982 02 02 12.267
1982 02 03 1.178
1982 02 04 0.036
1982 02 05 5.162
1982 02 06 16.339
1982 02 07 3.553
1982 02 08 6.319
1982 02 09 1.567
1982 02 10 0.015
1982 02 11 0.019
1982 02 12 0.000
1982 02 13 0.000
1982 02 14 0.000
1982 02 15 9.223
1982 02 16 0.888
1982 02 17 1.685
1982 02 18 0.000
1982 02 19 0.000
1982 02 20 0.003
1982 02 21 1.728
1982 02 22 1.634
1982 02 23 0.790
1982 02 24 8.944
1982 02 25 8.901
1982 02 26 9.282
1982 02 27 7.817
1982 02 28 5.221
1982 03 01 1.998
1982 03 02 8.327
1982 03 03 5.570
1982 03 04 20.058
1982 03 05 7.090
1982 03 06 39.622
1982 03 07 5.138
1982 03 08 5.732
1982 03 09 6.158
1982 03 10 21.097
1982 03 11 6.695
1982 03 12 2.360
1982 03 13 15.340
1982 03 14 14.253
1982 03 15 3.212
1982 03 16 0.298
1982 03 17 0.075
1982 03 18 0.419
1982 03 19 14.557
1982 03 20 10.669
1982 03 21 4.753
1982 03 22 5.607
1982 03 23 30.181
1982 03 24 30.569
1982 03 25 2.876
1982 03 26 0.200
1982 03 27 2.578
1982 03 28 0.643
1982 03 29 0.203
1982 03 30 5.664
1982 03 31 1.222
1982 04 01 3.406
1982 04 02 0.000
1982 04 03 0.000
1982 04 04 0.000
1982 04 05 0.000
1982 04 06 0.000
1982 04 07 0.000
1982 04 08 0.000
1982 04 09 0.000
1982 04 10 4.073
1982 04 11 0.092
1982 04 12 1.236
1982 04 13 14.552
1982 04 14 21.767
1982 04 15 5.034
1982 04 16 0.069
1982 04 17 0.000
1982 04 18 9.628
1982 04 19 0.449
1982 04 20 0.017
1982 04 21 0.000
1982 04 22 0.000
1982 04 23 0.000
1982 04 24 0.000
1982 04 25 0.000
1982 04 26 0.000
1982 04 27 0.000
1982 04 28 0.000
1982 04 29 0.000
1982 04 30 0.009
1982 05 01 0.000
1982 05 02 0.000
1982 05 03 0.000
1982 05 04 0.000
1982 05 05 0.008
1982 05 06 0.131
1982 05 07 0.000
1982 05 08 0.000
1982 05 09 0.000
1982 05 10 0.000
1982 05 11 0.000
1982 05 12 0.000
1982 05 13 0.000
1982 05 14 0.000
1982 05 15 0.000
1982 05 16 0.000
1982 05 17 0.458
1982 05 18 0.183
1982 05 19 23.858
1982 05 20 5.104
1982 05 21 12.355
1982 05 22 0.300
1982 05 23 0.009
1982 05 24 47.617
1982 05 25 22.057
1982 05 26 0.015
1982 05 27 0.000
1982 05 28 0.000
1982 05 29 0.000
