year month day potential_evapotransp_gleam
1982 10 14 3.209
1982 10 15 3.317
1982 10 16 3.798
1982 10 17 3.003
1982 10 18 3.555
1982 10 19 3.582
1982 10 20 3.799
1982 10 21 1.152
1982 10 22 1.419
1982 10 23 1.938
1982 10 24 2.166
1982 10 25 3.447
1982 10 26 4.063
1982 10 27 4.219
1982 10 28 3.744
1982 10 29 4.306
1982 10 30 4.164
1982 10 31 4.088
1982 11 01 2.643
1982 11 02 1.248
1982 11 03 1.311
1982 11 04 3.966
1982 11 05 1.327
1982 11 06 2.027
1982 11 07 3.551
1982 11 08 3.934
1982 11 09 4.101
1982 11 10 2.348
1982 11 11 1.026
1982 11 12 3.977
1982 11 13 4.141
1982 11 14 2.232
1982 11 15 1.522
1982 11 16 3.251
1982 11 17 3.068
1982 11 18 4.553
1982 11 19 1.636
1982 11 20 2.088
1982 11 21 4.200
1982 11 22 4.543
1982 11 23 4.949
1982 11 24 4.808
1982 11 25 4.965
1982 11 26 4.178
1982 11 27 4.372
1982 11 28 4.556
1982 11 29 4.542
1982 11 30 2.004
1982 12 01 1.852
1982 12 02 3.703
1982 12 03 4.305
1982 12 04 3.417
1982 12 05 3.672
1982 12 06 1.793
1982 12 07 4.268
1982 12 08 4.525
1982 12 09 4.819
1982 12 10 4.865
1982 12 11 4.786
1982 12 12 4.954
1982 12 13 4.951
1982 12 14 1.688
1982 12 15 3.484
1982 12 16 1.837
1982 12 17 4.163
1982 12 18 2.621
1982 12 19 5.436
1982 12 20 5.069
1982 12 21 3.991
1982 12 22 2.476
1982 12 23 4.221
1982 12 24 4.410
1982 12 25 4.965
1982 12 26 5.296
1982 12 27 5.413
1982 12 28 5.221
1982 12 29 5.325
1982 12 30 5.176
1982 12 31 4.764
1983 01 01 4.290
1983 01 02 4.807
1983 01 03 3.198
1983 01 04 1.426
1983 01 05 1.575
1983 01 06 3.018
1983 01 07 4.017
1983 01 08 3.740
1983 01 09 5.145
1983 01 10 5.162
1983 01 11 5.106
1983 01 12 5.489
1983 01 13 4.397
1983 01 14 3.497
1983 01 15 4.191
1983 01 16 4.207
1983 01 17 2.349
1983 01 18 2.554
1983 01 19 4.453
1983 01 20 3.657
1983 01 21 5.177
1983 01 22 5.167
1983 01 23 5.041
1983 01 24 4.768
1983 01 25 4.631
1983 01 26 2.874
1983 01 27 3.842
1983 01 28 3.957
1983 01 29 3.117
1983 01 30 1.848
1983 01 31 4.413
1983 02 01 4.202
1983 02 02 2.610
1983 02 03 4.428
1983 02 04 3.980
1983 02 05 3.460
1983 02 06 3.988
1983 02 07 4.488
1983 02 08 4.317
1983 02 09 4.546
1983 02 10 4.410
1983 02 11 4.367
1983 02 12 3.778
1983 02 13 2.252
1983 02 14 2.281
1983 02 15 1.084
1983 02 16 1.124
1983 02 17 3.734
1983 02 18 3.902
1983 02 19 4.031
1983 02 20 4.666
1983 02 21 3.267
1983 02 22 3.649
1983 02 23 3.889
1983 02 24 2.862
1983 02 25 0.683
1983 02 26 0.938
1983 02 27 1.086
1983 02 28 2.103
1983 03 01 3.394
1983 03 02 1.187
1983 03 03 1.713
1983 03 04 2.845
1983 03 05 2.702
1983 03 06 3.861
1983 03 07 3.828
1983 03 08 3.664
1983 03 09 3.867
1983 03 10 0.694
1983 03 11 0.572
1983 03 12 2.938
1983 03 13 2.396
1983 03 14 3.299
1983 03 15 2.944
1983 03 16 0.898
1983 03 17 0.395
1983 03 18 3.037
1983 03 19 2.937
1983 03 20 2.916
1983 03 21 2.970
1983 03 22 3.026
1983 03 23 3.078
1983 03 24 3.049
1983 03 25 3.031
1983 03 26 2.823
1983 03 27 3.110
1983 03 28 3.062
1983 03 29 2.111
1983 03 30 2.128
1983 03 31 1.521
1983 04 01 1.634
1983 04 02 2.674
1983 04 03 0.580
1983 04 04 0.477
1983 04 05 2.335
1983 04 06 1.643
1983 04 07 2.571
1983 04 08 2.233
1983 04 09 2.387
1983 04 10 2.145
1983 04 11 2.618
1983 04 12 2.494
1983 04 13 1.124
1983 04 14 1.919
1983 04 15 2.116
1983 04 16 1.944
1983 04 17 0.889
1983 04 18 0.357
1983 04 19 2.047
1983 04 20 1.730
1983 04 21 1.548
1983 04 22 1.548
1983 04 23 1.403
1983 04 24 0.938
1983 04 25 1.238
1983 04 26 1.696
1983 04 27 1.776
1983 04 28 1.256
1983 04 29 1.299
1983 04 30 1.438
1983 05 01 1.010
1983 05 02 0.422
1983 05 03 0.618
1983 05 04 1.400
1983 05 05 0.002
1983 05 06 1.175
1983 05 07 0.864
1983 05 08 1.418
1983 05 09 1.407
1983 05 10 0.567
1983 05 11 0.715
1983 05 12 0.587
1983 05 13 1.142
1983 05 14 1.374
1983 05 15 0.546
1983 05 16 1.054
1983 05 17 1.253
1983 05 18 1.033
1983 05 19 0.693
1983 05 20 0.939
1983 05 21 0.881
1983 05 22 0.888
1983 05 23 0.827
1983 05 24 0.733
1983 05 25 0.881
1983 05 26 0.514
1983 05 27 0.430
1983 05 28 0.898
1983 05 29 0.637
1983 05 30 0.416
1983 05 31 0.107
1983 06 01 0.267
1983 06 02 0.427
1983 06 03 0.095
1983 06 04 0.649
1983 06 05 0.709
1983 06 06 0.659
1983 06 07 0.663
1983 06 08 0.716
1983 06 09 1.129
1983 06 10 0.528
1983 06 11 0.615
1983 06 12 -0.005
1983 06 13 0.378
1983 06 14 0.481
1983 06 15 0.823
1983 06 16 0.720
1983 06 17 0.513
