gauge_id crop_perc crop_mosaic_perc forest_perc shrub_perc grass_perc barren_perc imperv_perc wet_perc snow_perc dom_land_cover dom_land_cover_perc
34730000 8.93680 63.42860 10.34180 17.09600 0.00000 0.19670 0.00000 0.00000 0.00000 crop_mosaic 63.42860
34750000 4.23280 29.13650 6.99960 59.16850 0.13410 0.08830 0.00000 0.24010 0.00000 shrub 59.16850
34770000 3.26380 37.51780 14.36600 44.59710 0.07060 0.05010 0.00000 0.13450 0.00000 shrub 44.59710
34789000 3.02190 39.50930 15.85500 41.33180 0.06020 0.04230 0.00000 0.17950 0.00000 shrub 41.33180
34879500 3.34360 39.96510 18.52330 37.75980 0.08320 0.04080 0.01840 0.26570 0.00000 crop_mosaic 39.96510
34930000 2.50510 56.58600 13.52420 27.23570 0.08460 0.01810 0.00000 0.04630 0.00000 crop_mosaic 56.58600
34940000 1.31340 59.38900 19.97780 19.20620 0.03700 0.00760 0.00000 0.06900 0.00000 crop_mosaic 59.38900
34980000 1.59330 63.47030 16.14910 18.44090 0.04730 0.02480 0.00000 0.27430 0.00000 crop_mosaic 63.47030
35235000 3.17650 39.82870 7.77490 47.31970 0.06390 0.10490 0.00000 1.73140 0.00000 shrub 47.31970
35240000 4.27010 31.66010 9.32670 54.53430 0.07990 0.00610 0.00000 0.12290 0.00000 shrub 54.53430
35258000 1.72280 15.05930 6.77960 75.78580 0.07160 0.00400 0.00000 0.57690 0.00000 shrub 75.78580
35260000 1.75200 18.14580 7.36460 72.14580 0.06060 0.00340 0.00000 0.52800 0.00000 shrub 72.14580
35263000 8.00390 34.76990 37.08690 19.79910 0.00000 0.24300 0.00000 0.09720 0.00000 forest 37.08690
35740000 5.65550 19.36590 60.15420 11.09680 0.00000 2.35650 0.00000 1.37100 0.00000 forest 60.15420
35830000 1.88870 29.25380 3.09160 65.41140 0.11620 0.00000 0.00000 0.23830 0.00000 shrub 65.41140
36020000 1.95550 15.37600 4.79700 77.30420 0.46980 0.03410 0.00000 0.06340 0.00000 shrub 77.30420
36045000 4.45910 21.39920 6.40640 67.64130 0.05540 0.00280 0.00000 0.03600 0.00000 shrub 67.64130
36125000 5.05250 68.59560 7.13550 19.05630 0.00800 0.00530 0.00000 0.14690 0.00000 crop_mosaic 68.59560
36130000 4.32650 67.91290 11.91440 15.69570 0.02060 0.00320 0.00000 0.12680 0.00000 crop_mosaic 67.91290
36160000 3.39900 33.38170 7.76250 55.21020 0.15670 0.01110 0.00000 0.07880 0.00000 shrub 55.21020
36210000 11.23260 61.11070 23.13710 3.39710 0.16990 0.00740 0.64990 0.29540 0.00000 crop_mosaic 61.11070
36250000 18.21100 48.58970 18.72720 14.22830 0.06810 0.11860 0.00000 0.05710 0.00000 crop_mosaic 48.58970
36290000 13.92760 49.28000 18.75290 17.64970 0.08400 0.04160 0.06660 0.19750 0.00000 crop_mosaic 49.28000
36320000 9.24780 37.26460 12.61330 40.30000 0.15290 0.02390 0.02100 0.37630 0.00000 shrub 40.30000
36390000 13.10850 36.98590 12.66130 36.58770 0.25370 0.02840 0.01720 0.35740 0.00000 crop_mosaic 36.98590
36580000 8.98970 35.69470 8.16060 46.56820 0.26850 0.01810 0.00000 0.30030 0.00000 shrub 46.56820
37220000 6.74050 49.79980 15.89270 26.61270 0.23860 0.00000 0.00000 0.71580 0.00000 crop_mosaic 49.79980
37380000 11.81710 29.80500 20.20670 37.03070 0.23320 0.01650 0.00000 0.89100 0.00000 shrub 37.03070
37410000 15.47180 32.10440 19.91710 31.67910 0.17970 0.01240 0.00000 0.63540 0.00000 crop_mosaic 32.10440
37470000 19.92870 30.41020 21.09830 27.79440 0.18970 0.01350 0.03230 0.53290 0.00000 crop_mosaic 30.41020
37710150 21.58420 30.24570 20.70460 26.24050 0.44690 0.01730 0.03640 0.72450 0.00000 crop_mosaic 30.24570
38650000 6.13500 31.88420 9.61490 52.11990 0.08200 0.06480 0.00000 0.09930 0.00000 shrub 52.11990
38790000 11.73970 75.89350 3.73900 8.48280 0.02360 0.03370 0.00000 0.08770 0.00000 crop_mosaic 75.89350
38830000 11.49630 31.57230 14.90540 40.94390 0.92290 0.00000 0.00000 0.15910 0.00000 shrub 40.94390
38860000 15.07590 34.17600 14.90940 34.71670 0.58550 0.12040 0.18580 0.23050 0.00000 shrub 34.71670
39084010 9.09960 84.18530 1.82270 4.86500 0.00000 0.00000 0.00000 0.02740 0.00000 crop_mosaic 84.18530
39084020 9.28480 76.76140 2.61250 11.32610 0.00000 0.00000 0.00000 0.01520 0.00000 crop_mosaic 76.76140
39100000 11.63380 41.60250 12.86090 33.56590 0.30680 0.01800 0.01200 0.00000 0.00000 crop_mosaic 41.60250
39130000 8.34670 44.89540 10.99860 35.41430 0.29120 0.01150 0.03450 0.00770 0.00000 crop_mosaic 44.89540
39140000 14.13690 48.67410 10.48320 26.33500 0.19120 0.10900 0.01720 0.05350 0.00000 crop_mosaic 48.67410
39145000 12.97560 52.75450 9.55190 24.39270 0.16780 0.09560 0.01510 0.04700 0.00000 crop_mosaic 52.75450
39150000 12.18020 55.19350 9.05060 23.26730 0.16020 0.08620 0.01360 0.04840 0.00000 crop_mosaic 55.19350
39170000 7.48060 73.42980 4.94000 13.30280 0.00000 0.84690 0.00000 0.00000 0.00000 crop_mosaic 73.42980
39185000 11.67220 58.23470 8.41520 21.28060 0.14450 0.13540 0.01160 0.10190 0.00390 crop_mosaic 58.23470
39187800 11.71340 58.32460 8.38870 21.17790 0.14380 0.13480 0.01160 0.10140 0.00390 crop_mosaic 58.32460
39360000 20.69050 59.19920 6.23850 13.17920 0.25650 0.08340 0.35260 0.00000 0.00000 crop_mosaic 59.19920
39480000 14.12860 72.12860 5.82860 7.87140 0.02860 0.00000 0.00000 0.01430 0.00000 crop_mosaic 72.12860
39540000 30.97520 55.39040 4.80030 8.02450 0.03240 0.77010 0.00000 0.00720 0.00000 crop_mosaic 55.39040
39560000 20.33870 63.18330 4.58750 11.43370 0.01710 0.40720 0.00000 0.03230 0.00000 crop_mosaic 63.18330
39580000 8.89590 63.35650 6.46050 21.14830 0.01260 0.00000 0.00000 0.12620 0.00000 crop_mosaic 63.35650
39760000 10.89300 79.25610 4.99880 4.71080 0.08190 0.02820 0.00000 0.03110 0.00000 crop_mosaic 79.25610
39770000 10.78790 78.29080 5.32330 5.46720 0.07580 0.02620 0.00000 0.02870 0.00000 crop_mosaic 78.29080
