gauge_id geol_class_1st geol_class_1st_perc geol_class_2nd geol_class_2nd_perc carb_rocks_perc geol_porosity geol_permeability
39084010 metamorphics 53.81000 acid_plutonic_rocks 44.39000 0.00000 0.01430 -14.04150
39084020 acid_plutonic_rocks 60.70000 metamorphics 32.86000 0.00000 0.02680 -13.86630
39100000 acid_plutonic_rocks 61.64000 metamorphics 38.36000 0.00000 0.01000 -14.10000
39130000 acid_plutonic_rocks 64.21000 metamorphics 35.30000 0.00000 0.01000 -14.10000
39140000 acid_plutonic_rocks 65.41000 metamorphics 34.12000 0.22000 0.01010 -14.09480
39145000 acid_plutonic_rocks 65.18000 metamorphics 34.41000 0.19000 0.01010 -14.09540
39150000 acid_plutonic_rocks 62.53000 metamorphics 36.57000 0.17000 0.01140 -14.07800
39170000 acid_plutonic_rocks 85.22000 metamorphics 14.78000 0.00000 0.01000 -13.85700
39185000 acid_plutonic_rocks 62.92000 metamorphics 35.17000 0.15000 0.01420 -14.02440
39187800 acid_plutonic_rocks 63.08000 metamorphics 35.01000 0.15000 0.01420 -14.02410
39360000 acid_plutonic_rocks 66.78000 metamorphics 33.22000 0.00000 0.01000 -14.05290
39480000 acid_plutonic_rocks 63.10000 metamorphics 23.94000 0.00000 0.04340 -13.21730
39540000 acid_plutonic_rocks 77.68000 metamorphics 22.32000 0.00000 0.01000 -14.10000
39560000 acid_plutonic_rocks 72.45000 metamorphics 26.93000 0.00000 0.01150 -13.80130
39580000 metamorphics 91.27000 siliciclastic_sedimentary_rocks 6.93000 0.00000 0.02900 -13.00000
39760000 metamorphics 75.33000 acid_plutonic_rocks 18.44000 0.00000 0.02600 -13.26870
39770000 metamorphics 75.93000 acid_plutonic_rocks 17.33000 0.00000 0.02740 -13.22450
39870000 metamorphics 77.49000 acid_plutonic_rocks 19.22000 0.00000 0.01840 -13.60880
40025000 metamorphics 86.08000 mixed_sedimentary_rocks 11.85000 0.00000 0.03540 -14.18990
40037000 metamorphics 57.89000 mixed_sedimentary_rocks 38.99000 0.00000 0.08610 -13.68710
40040000 mixed_sedimentary_rocks 60.63000 metamorphics 33.98000 0.00000 0.12950 -13.00000
40050000 mixed_sedimentary_rocks 47.07000 metamorphics 33.04000 3.41000 0.12980 -13.42170
40053000 carbonate_sedimentary_rocks 68.55000 mixed_sedimentary_rocks 29.13000 68.55000 0.10080 -13.00000
40060001 metamorphics 60.59000 mixed_sedimentary_rocks 35.58000 0.21000 0.07800 -13.57980
40100000 mixed_sedimentary_rocks 48.73000 unconsolidated_sediments 21.91000 3.35000 0.14170 -13.33070
40150000 acid_plutonic_rocks 89.87000 basic_plutonic_rocks 4.40000 0.00000 0.01340 -13.61920
40170000 acid_plutonic_rocks 85.14000 unconsolidated_sediments 12.75000 0.00000 0.03690 -13.09700
40185000 acid_plutonic_rocks 85.67000 unconsolidated_sediments 10.49000 0.00000 0.03190 -13.27370
40330000 acid_plutonic_rocks 89.33000 metamorphics 4.66000 0.00000 0.01710 -13.46810
40500000 unconsolidated_sediments 59.24000 mixed_sedimentary_rocks 32.01000 0.00000 0.17550 -12.92580
40549998 acid_plutonic_rocks 75.72000 metamorphics 24.28000 0.00000 0.01000 -13.02710
40579995 metamorphics 52.25000 acid_plutonic_rocks 38.93000 0.00000 0.01000 -13.18390
40680000 acid_plutonic_rocks 63.20000 metamorphics 33.59000 0.00000 0.01630 -13.00000
40710000 acid_plutonic_rocks 55.80000 metamorphics 41.33000 0.00000 0.01110 -13.16930
40740000 acid_plutonic_rocks 50.04000 metamorphics 47.66000 0.10000 0.01130 -13.44410
40800001 metamorphics 57.38000 acid_plutonic_rocks 38.28000 0.45000 0.01290 -13.61690
40810350 acid_plutonic_rocks 100.00000 nan 0.00000 0.00000 0.01000 -13.00000
