gauge_id q_mean runoff_ratio stream_elas slope_fdc baseflow_index hfd_mean Q5 Q95 high_q_freq high_q_dur low_q_freq low_q_dur zero_q_freq
33680000 0.37520 0.10167 1.63489 2.59704 0.62197 214.41176 0.06650 1.66394 32.99989 11.31579 42.36266 23.00000 0.00000
33730000 0.53737 0.12296 2.52687 5.95482 0.52673 224.42105 0.01180 2.81870 77.35953 24.33333 200.69069 51.64935 0.00000
33760000 0.47403 0.11279 1.30334 2.79306 0.73869 231.57895 0.07680 1.48210 2.27775 15.00000 30.01569 34.88235 0.00000
33780000 0.59617 0.13567 1.74392 4.06562 0.59609 227.25000 0.04040 2.68970 36.30000 19.62162 136.30000 61.95455 0.00000
34020000 0.72031 0.21695 0.35327 0.92024 0.84124 178.85000 0.46170 1.36770 0.00000 0.00000 0.00000 0.00000 0.00000
34060000 0.58287 0.17011 0.40487 0.95522 0.84886 180.05000 0.35730 1.06400 0.00000 0.00000 0.00000 0.00000 0.00000
34070000 0.53266 0.15741 0.44864 0.99348 0.84733 179.85000 0.32690 1.00178 0.00000 0.00000 0.00000 0.00000 0.00000
34090000 0.19391 0.07011 0.43726 0.91908 0.89472 184.05000 0.12600 0.31230 0.00000 0.00000 0.00000 0.00000 0.00000
34130000 0.91844 0.23021 0.83371 0.96163 0.85737 184.95000 0.55410 1.64886 0.00000 0.00000 0.00000 0.00000 0.00000
34170000 0.62324 0.18095 1.23465 1.25771 0.78357 185.35000 0.31040 1.46540 0.00000 0.00000 0.00000 0.00000 0.00000
34251000 0.05385 0.02082 2.10255 3.53101 0.63457 184.11765 0.00400 0.19460 9.56898 18.80000 92.83946 44.48780 0.00002
34311000 0.28992 0.09876 0.41359 0.79036 0.82980 181.20000 0.17770 0.54072 0.00000 0.00000 0.00000 0.00000 0.00000
34571000 0.01097 0.00589 2.05149 nan 0.32462 180.26316 0.00000 0.04870 76.90003 12.54098 224.46766 46.52083 0.00391
34660000 0.18877 0.07254 0.87374 1.09261 0.79275 184.60000 0.10253 0.42225 0.00000 0.00000 0.00000 0.00000 0.00000
34690000 0.21152 0.08101 1.10752 1.09311 0.77536 186.05000 0.10920 0.48650 0.50000 2.00000 0.00000 0.00000 0.00000
34730000 0.29652 0.11655 1.30752 5.43455 nan 228.60000 0.00000 0.82750 4.25871 2.45455 121.97783 38.66667 0.00198
34750000 0.09491 0.04730 3.59607 9.69295 0.29390 213.15000 0.00000 0.37362 77.10000 14.01818 257.80000 46.87273 0.00238
34770000 0.12629 0.05448 2.98581 4.77648 0.32731 200.40000 0.00190 0.63158 70.85000 9.02548 247.95000 36.73333 0.00000
34789000 0.15827 0.06359 2.61228 5.16590 0.39165 203.85000 0.00290 0.78250 65.55000 9.36429 213.50000 37.13043 0.00000
34879500 0.19644 0.07437 1.60326 1.42323 0.75578 197.90000 0.08400 0.53890 1.15000 7.66667 0.00000 0.00000 0.00000
34930000 0.60854 0.16556 2.64579 5.87841 0.41050 216.94118 0.00000 3.50490 89.34851 20.30952 247.46290 60.57692 0.00092
34940000 0.64593 0.16661 3.03137 5.43389 0.43492 218.22222 0.00210 3.87421 81.29009 21.18421 242.55751 57.19048 0.00007
34980000 0.48305 0.13531 2.92815 3.81316 0.45762 220.80000 0.01320 2.70570 75.60000 17.78824 230.80000 64.11111 0.00000
35235000 0.18985 0.08431 0.98781 1.55664 0.59838 173.89474 0.02650 0.23100 9.07485 36.20000 39.45803 15.74000 0.00000
35240000 0.35582 0.17935 2.44916 nan 0.22023 209.20000 0.00000 0.92830 117.00000 68.82353 296.75000 70.65476 0.00680
35258000 0.11093 0.06420 2.26450 2.57991 0.34112 190.11765 0.00000 0.16560 16.85133 7.40909 183.96897 37.86170 0.00051
35260000 0.13889 0.07924 2.76675 3.83840 0.29914 203.57895 0.00000 0.46455 47.70243 8.79630 272.75749 54.32000 0.00140
35263000 0.49592 0.15848 2.53225 nan 0.36065 217.05000 0.00000 2.89840 166.20000 100.72727 257.95000 52.64286 0.00545
35740000 0.66496 0.18820 2.58204 2.16845 0.46330 223.84211 0.01130 2.78985 32.63851 6.84211 120.96333 14.33929 0.00044
35830000 0.16529 0.08317 2.54776 nan 0.25666 220.66667 0.00000 0.48900 169.59144 96.44118 239.41408 71.21538 0.00536
36020000 0.03675 0.02441 3.47180 nan 0.16154 208.05882 0.00000 0.04408 70.28534 21.60938 318.34228 89.48571 0.00808
36045000 0.03246 0.02002 3.93676 nan 0.20237 207.78947 0.00000 0.07670 92.55000 54.44118 304.70000 81.25333 0.00747
36125000 0.09631 0.04892 4.91319 nan 0.33869 219.05556 0.00000 0.53210 124.70233 45.88889 283.22224 87.93750 0.00659
36130000 0.12716 0.06027 3.24226 nan 0.31264 205.29412 0.00000 0.51780 155.12568 66.28261 267.36158 67.37179 0.00575
36160000 0.08659 0.04876 4.00845 nan 0.34043 205.52632 0.00000 0.27980 141.10907 97.10345 266.23313 94.87500 0.00614
36210000 0.28166 0.10361 3.09242 9.42338 0.33898 203.31579 0.00000 1.41657 81.47344 10.33758 221.02745 43.59406 0.00176
36250000 0.05440 0.02438 3.48213 nan 0.21354 200.15000 0.00000 0.21670 75.90000 15.02970 285.20000 56.47525 0.00370
36290000 0.15192 0.06298 3.51040 4.41122 0.35216 205.80000 0.00000 0.70500 58.25000 10.49550 234.90000 49.97872 0.00267
36320000 0.09230 0.04551 3.18850 2.30225 0.46251 200.40000 0.00380 0.35162 26.35000 8.36508 139.10000 36.60526 0.00000
36390000 0.08479 0.04183 2.13110 1.79317 0.42138 206.33333 0.00560 0.29790 27.63454 13.70000 169.48851 36.53261 0.00021
36580000 0.07936 0.04347 1.99433 1.52720 0.54167 173.75000 0.00760 0.08680 6.10000 7.62500 37.80000 19.89474 0.00003
37220000 0.14577 0.05949 0.97009 3.95733 0.47410 151.57895 0.01200 0.40670 14.23778 3.37349 120.05503 20.00847 0.00006
37380000 0.13561 0.06032 1.99609 0.74959 0.60881 188.05263 0.02970 0.16240 11.07428 12.94118 15.15163 8.36111 0.00004
37410000 0.16828 0.07390 2.90108 1.21698 0.42324 202.10000 0.01540 0.64910 25.35000 8.59322 114.80000 13.83133 0.00017
37470000 0.15459 0.07010 2.99762 3.06546 0.37395 206.83333 0.00530 0.56220 39.50426 8.48913 220.63710 44.51020 0.00004
37710150 0.14103 0.07354 3.33768 1.00555 0.38405 199.17647 0.01360 0.10210 13.73885 38.57143 211.93456 88.61702 0.00005
38650000 0.04385 0.02698 3.14325 nan 0.24402 224.05882 0.00000 0.12420 151.44386 97.30000 249.70856 77.62903 0.00585
38790000 0.28698 0.10302 2.56707 4.48971 0.35262 257.11111 0.00030 1.09810 41.76198 7.30631 188.41812 35.18269 0.00045
38830000 0.06327 0.04022 1.73937 nan 0.26562 192.33333 0.00000 0.21840 122.94693 55.25000 285.49380 68.01205 0.00663
38860000 0.02165 0.01592 1.98860 3.77338 0.37386 222.21053 0.00000 0.04132 23.55318 7.81667 205.04823 36.78378 0.00180
39084010 0.37049 0.13289 2.03942 6.19257 nan 260.52941 0.00000 1.48220 50.07460 7.37984 200.03539 39.20619 0.00060
39084020 0.50347 0.16642 2.06920 3.21024 0.46270 259.84211 0.02390 2.05460 25.51454 4.86408 116.26684 17.29545 0.00002
