year month day precipitation_cpc
1982 06 20 0.000
1982 06 21 0.049
1982 06 22 0.000
1982 06 23 0.000
1982 06 24 0.000
1982 06 25 0.000
1982 06 26 0.000
1982 06 27 0.263
1982 06 28 0.200
1982 06 29 0.000
1982 06 30 0.007
1982 07 01 0.031
1982 07 02 0.027
1982 07 03 0.734
1982 07 04 1.915
1982 07 05 4.649
1982 07 06 1.256
1982 07 07 0.129
1982 07 08 0.000
1982 07 09 0.000
1982 07 10 0.000
1982 07 11 0.000
1982 07 12 0.000
1982 07 13 0.057
1982 07 14 1.833
1982 07 15 0.098
1982 07 16 0.734
1982 07 17 1.352
1982 07 18 0.184
1982 07 19 0.101
1982 07 20 0.424
1982 07 21 0.610
1982 07 22 0.326
1982 07 23 1.486
1982 07 24 0.141
1982 07 25 0.464
1982 07 26 0.345
1982 07 27 0.706
1982 07 28 0.261
1982 07 29 1.677
1982 07 30 1.099
1982 07 31 6.886
1982 08 01 0.304
1982 08 02 0.245
1982 08 03 0.298
1982 08 04 0.539
1982 08 05 0.000
1982 08 06 1.619
1982 08 07 0.099
1982 08 08 0.000
1982 08 09 0.000
1982 08 10 0.000
1982 08 11 0.000
1982 08 12 0.886
1982 08 13 21.996
1982 08 14 22.705
1982 08 15 2.598
1982 08 16 0.733
1982 08 17 0.401
1982 08 18 0.000
1982 08 19 0.550
1982 08 20 0.654
1982 08 21 0.000
1982 08 22 0.000
1982 08 23 0.343
1982 08 24 0.435
1982 08 25 0.831
1982 08 26 1.672
1982 08 27 2.990
1982 08 28 0.814
1982 08 29 0.469
1982 08 30 0.577
1982 08 31 0.030
1982 09 01 0.257
1982 09 02 4.278
1982 09 03 3.260
1982 09 04 0.628
1982 09 05 0.073
1982 09 06 0.000
1982 09 07 0.999
1982 09 08 0.188
1982 09 09 0.032
1982 09 10 0.029
1982 09 11 0.225
1982 09 12 0.143
1982 09 13 0.254
1982 09 14 0.221
1982 09 15 0.384
1982 09 16 2.163
1982 09 17 2.632
1982 09 18 2.320
1982 09 19 0.000
1982 09 20 1.834
1982 09 21 0.413
1982 09 22 1.250
1982 09 23 2.930
1982 09 24 2.797
1982 09 25 0.175
1982 09 26 0.000
1982 09 27 0.391
1982 09 28 0.281
1982 09 29 0.226
1982 09 30 0.450
1982 10 01 0.129
1982 10 02 0.252
1982 10 03 0.120
1982 10 04 7.226
1982 10 05 1.918
1982 10 06 0.011
1982 10 07 0.272
1982 10 08 0.134
1982 10 09 0.039
1982 10 10 3.768
1982 10 11 1.505
1982 10 12 1.640
1982 10 13 1.956
1982 10 14 8.099
1982 10 15 0.509
1982 10 16 0.746
1982 10 17 0.258
1982 10 18 0.206
1982 10 19 0.000
1982 10 20 0.236
1982 10 21 0.213
1982 10 22 0.190
1982 10 23 0.035
1982 10 24 0.000
1982 10 25 0.000
1982 10 26 0.000
1982 10 27 0.205
1982 10 28 0.098
1982 10 29 0.777
1982 10 30 0.701
1982 10 31 9.386
1982 11 01 3.315
1982 11 02 2.325
1982 11 03 0.753
1982 11 04 0.053
1982 11 05 0.000
1982 11 06 0.649
1982 11 07 0.000
1982 11 08 3.913
1982 11 09 0.021
1982 11 10 0.406
1982 11 11 0.061
1982 11 12 0.267
1982 11 13 2.819
1982 11 14 1.773
1982 11 15 1.642
1982 11 16 2.687
1982 11 17 6.363
1982 11 18 8.974
1982 11 19 1.358
1982 11 20 0.104
1982 11 21 0.061
1982 11 22 0.000
1982 11 23 0.000
1982 11 24 0.000
1982 11 25 1.319
1982 11 26 1.088
1982 11 27 0.304
1982 11 28 0.408
1982 11 29 0.612
1982 11 30 0.540
1982 12 01 0.043
1982 12 02 0.193
1982 12 03 6.282
1982 12 04 5.803
1982 12 05 16.258
1982 12 06 0.835
1982 12 07 0.297
1982 12 08 4.246
1982 12 09 21.137
1982 12 10 4.873
1982 12 11 2.795
