gauge_id sand_perc silt_perc clay_perc org_carbon_content bedrock_depth water_table_depth
46105000 47.92850 17.41190 34.64820 11.55060 2960.80190 1402.61350
46360000 48.20320 17.53940 34.24780 11.22650 2971.90480 1430.49600
46455000 52.39590 15.32360 32.27760 11.05330 3550.06010 506.50210
46570000 48.94700 16.63510 34.42420 11.71850 4368.74180 270.95090
46610000 54.13850 15.18320 30.66850 10.55090 3298.98010 795.48920
46650000 53.60060 15.54920 30.83950 10.37120 3285.70820 781.83710
46770000 53.65200 14.86460 31.47250 11.51310 3700.26180 289.40600
46830000 53.15320 15.47550 31.36460 10.75150 3396.27990 758.68760
46902000 52.67470 16.31090 31.00810 9.90410 3385.84020 547.89880
47480000 49.35780 18.05170 32.59510 6.59410 3305.99950 1902.50030
48020000 50.21430 17.17600 32.60420 10.06770 3056.29360 1230.61110
48290000 50.38870 17.18260 32.42360 9.85570 3058.39340 1214.95000
48590000 50.58180 17.22350 32.18980 9.62860 3037.54130 1229.28680
49330000 50.95380 17.31280 31.73010 9.29030 2988.89220 1302.43150
49370000 51.00380 17.31910 31.67390 9.26240 2981.91530 1305.63330
49705000 51.10910 17.33510 31.55230 9.21620 2964.49000 1324.31530
50040000 50.87390 18.41110 30.69120 7.71710 2538.78120 1917.22160
50047000 51.97480 17.06910 30.98160 9.34110 3529.29020 1854.23970
50146000 55.95350 16.80070 27.27370 5.99180 1989.30050 4505.48710
50150000 55.27350 16.89330 27.86070 6.64950 1958.98580 5396.77050
50191000 53.39010 17.86770 28.75190 6.92620 1911.11370 3890.40410
50250000 51.97240 18.73800 29.26890 7.03700 1983.66440 3490.70720
50290000 52.16440 18.31080 29.50620 7.45670 2432.96820 2305.05010
50330000 51.49020 16.29450 32.20190 9.38530 3089.12050 3673.53120
50380000 52.74190 16.40910 30.83790 8.19500 3058.85530 3275.50890
50420000 51.71200 16.32050 31.97120 8.93910 2698.38830 3069.22040
50430000 52.28830 16.01360 31.69780 8.94800 2751.69750 2746.02110
50465000 54.64920 16.28200 29.07210 7.16100 2794.86850 2513.62120
50540000 55.30450 16.88010 27.82400 7.01470 2389.89880 3052.58970
50595000 54.74240 17.05270 28.20820 7.11180 2340.06890 3172.10120
50620000 54.34480 17.76720 27.87870 6.96810 2410.62140 2460.05190
50660000 53.23320 17.34950 29.40940 7.87170 2787.82230 2083.74940
50720000 54.33390 17.23210 28.41970 7.21390 2372.33280 2198.29280
50730000 53.37370 16.28990 30.32010 7.24340 3475.81630 2800.89000
50740000 47.90190 18.23020 33.85750 7.75630 3578.35550 2663.06880
50755000 51.46080 17.21040 31.31710 7.81530 3107.34350 2364.04910
50785000 51.83600 16.48260 31.67270 8.29680 3083.83000 1984.88520
50795000 51.85270 16.37420 31.76490 8.56170 3077.31060 1915.53800
51060100 49.39630 16.67560 33.90700 9.09580 3416.55250 2113.78020
51120000 50.20680 15.31620 34.46290 11.90400 4264.75840 4944.23260
51140000 49.47160 16.41690 34.08520 9.69750 3675.32450 4700.81750
51170000 48.81250 16.11030 35.05580 9.48030 2906.23500 4275.76410
51230000 49.42720 14.86540 35.69630 10.49650 2589.19940 4747.76040
51240000 49.38980 16.20710 34.38710 9.93430 3346.57230 4418.80070
51280000 50.55870 16.04060 33.39140 9.48140 3205.86410 4271.80900
51330000 51.32390 15.78200 32.88420 9.23360 3008.25280 4021.71990
51350000 52.31020 15.69420 31.98740 9.15810 2872.34140 3724.42440
51430000 54.18010 14.88710 30.92240 8.98090 2656.47350 3837.97530
51440000 54.85940 15.73620 29.40280 8.27560 2551.84460 3089.03940
51460000 54.94650 16.90470 28.14990 7.49290 2309.21240 2548.40580
51560000 49.08160 17.64710 33.23360 8.79800 3177.00570 2197.07120
51685000 51.19390 14.40500 34.38240 10.86610 3213.18570 5104.35470
51750000 42.49170 19.11840 38.40110 19.27190 2293.98470 2907.48140
51795000 43.37560 19.90900 36.70540 16.17890 2535.99890 1847.47580
51820000 40.13840 19.96690 39.89160 13.19600 2106.11950 3417.26000
51840000 46.46260 15.90910 37.56530 12.58590 2883.62880 4196.90690
51870000 43.44940 18.08660 38.44320 13.64180 2332.40680 3971.36900
51940000 39.01830 22.33490 38.65170 23.19030 2354.61820 2276.24090
52050000 50.00600 16.64690 33.31920 13.19490 3256.55000 5845.68390
52370000 50.48590 15.27280 34.23140 7.60090 2858.04040 4379.55840
52404000 51.83750 16.14240 32.01290 7.70220 2978.37520 4622.18510
52405000 51.87700 16.06320 32.05480 7.73080 2948.39190 4645.47670
52570000 52.17000 15.77920 32.04750 7.84780 2848.49900 4695.43720
52680000 51.46690 15.79460 32.73240 8.38930 2759.97410 4729.62930
52695000 51.28430 15.86640 32.84330 8.45990 2758.25900 4703.14290
52760000 44.39070 15.93990 39.63200 12.56050 2355.42050 4284.69350
52790000 43.22880 17.54090 39.21390 12.31480 2598.78470 3740.76460
52831000 50.17930 16.21930 33.59480 9.11840 2726.89760 4558.83100
53050000 37.81930 22.97450 39.21800 16.62840 2025.88480 2648.02530
53091000 38.10520 23.48760 38.41980 19.08500 2083.34480 1945.25520
53125000 43.10420 17.15020 39.72690 11.33410 2136.80130 1844.27550
53140000 43.03170 18.04450 38.91550 10.74830 2701.49860 1915.22200
53160000 41.13590 19.51940 39.35020 12.13280 2575.54590 3082.67800
53170000 42.25510 18.91140 38.82900 11.62450 2753.62490 2220.74010
53180000 42.20610 19.02120 38.76970 11.74370 2749.14730 2209.15760
53540001 47.20840 15.25790 37.47710 9.43260 2883.44360 4376.25200
53620000 46.91630 15.08780 37.94080 9.45240 2856.83730 4383.27750
53630000 46.86200 14.80150 38.28350 9.46310 2831.14650 4370.40180
53650000 46.95450 14.80470 38.19110 9.50020 2866.24460 4412.57990
53780000 46.04460 14.99530 38.92920 11.51420 2659.19540 4405.98680
53880000 46.37560 15.08660 38.49180 9.99930 2787.72060 4228.63960
53950000 46.06250 15.33450 38.55950 10.05580 2760.11720 4170.77520
54010005 46.28780 16.19650 37.47120 21.72980 2739.53280 3474.47470
54110002 47.95450 16.03630 35.97430 9.64600 2703.27510 3363.08400
54150000 46.60480 16.23330 37.11820 15.57910 2619.87120 3615.13350
54165000 47.28660 15.99790 36.67070 8.63370 2597.84410 3603.26420
54195000 46.37400 16.44400 37.14350 13.57100 2601.34750 3664.06250
54230000 42.15430 15.93830 41.85970 16.98500 2556.26350 3484.19760
54260000 41.39740 15.87730 42.67100 14.87080 2541.17040 3681.78220
54300000 43.10720 14.92420 41.89920 11.46930 2624.34160 3781.50440
54390000 42.36880 15.84820 41.72940 13.25590 2522.03050 3643.95450
54485000 44.63000 14.80520 40.54630 12.34730 2360.19400 3732.36580
54500000 42.98420 15.87550 41.09850 12.70130 2477.59970 3571.41510
54580000 45.14890 16.25950 38.55410 12.88820 2540.34750 3664.01250
54590000 44.22390 13.90250 41.79980 11.89080 2122.00760 4485.12230
54710000 45.15260 16.13400 38.67380 12.73690 2496.01440 3711.92400
54730005 43.00960 14.77310 42.15500 12.08230 2014.58050 4063.41930
54770000 44.00920 15.00370 40.93170 11.42940 2282.43750 4667.71980
54780000 44.87320 15.93730 39.14670 12.56160 2462.09020 3806.80920
54950000 44.96050 15.90520 39.09080 12.38420 2473.60600 3766.12070
55330000 45.38070 13.62800 40.90630 12.62070 2243.24310 4157.87320
55340000 44.05390 15.36710 40.52230 11.40760 2062.37620 3911.16750
55360000 46.14370 14.34560 39.43440 11.17940 2147.09070 3436.22740
55370000 45.45380 15.20970 39.27920 10.60850 2228.59420 3756.22560
55380000 45.54630 15.27580 39.12320 10.42960 2225.22480 3789.34670
55460000 46.61710 14.34260 38.98570 9.97490 1917.58200 3137.72260
55520001 42.06840 15.30680 42.58980 12.39950 2005.24620 3923.78730
55560000 42.25870 15.37620 42.32310 12.42580 1991.11690 3947.93830
55610000 42.47750 15.00880 42.46820 11.64020 1921.16860 3876.04600
55630000 42.57640 15.18230 42.19930 11.77150 1961.54910 3829.79430
