gauge_id gauge_name gauge_region gauge_lat gauge_lon area_ana area_gsim area_gsim_quality
15830000 prainha_velha amazon -7.20780 -60.65000 131000.00000 131641.40000 high
15860000 fazenda_vista_alegre amazon -4.89720 -60.02530 1310000.00000 1341059.00000 high
15900000 borba amazon -4.38920 -59.59860 1310000.00000 nan nan
15903000 boa_fe amazon -7.22750 -58.93860 nan 3599.35400 high
15905000 boca_do_urucu amazon -7.15000 -58.93330 nan 5958.46800 high
15910000 santarem_sucunduri amazon -6.79560 -59.04220 12700.00000 12688.68000 high
15930000 acari_br-230 amazon -7.10140 -59.68330 4990.00000 5014.57000 high
15940000 nova_olinda_do_norte amazon -3.88470 -59.08970 1370000.00000 nan nan
16010000 rio_urubu amazon -2.66250 -59.35890 5090.00000 5057.00900 high
16030000 itacoatiara amazon -3.15390 -58.41140 4350000.00000 4333291.00000 high
16080000 balbina_p-8_(uhe_balbina) amazon -1.93810 -59.48330 18900.00000 18828.77000 high
16100000 cachoeira_morena amazon -2.10610 -59.34420 20400.00000 19977.93000 high
16150000 katuema amazon -1.03330 -58.68330 nan 21487.45000 high
16200000 base_da_siderama amazon -1.64060 -58.51890 nan 24751.74000 high
16205000 base_siderama_-_jusante amazon -1.68330 -58.53330 24600.00000 24773.27000 high
16360000 fazenda_paramazonas amazon -4.63330 -57.81670 nan 8255.16600 high
16365000 mamuru amazon -3.41670 -56.36670 nan 4943.71200 high
16368000 mineracao_caima amazon -1.43810 -57.82690 9580.00000 9803.34200 high
16370000 perimetral_norte amazon 0.64250 -56.87060 nan 20217.68000 high
16430000 garganta amazon -0.99780 -57.04310 39000.00000 38988.68000 high
16430003 cumaru_2 amazon -1.06440 -57.06500 nan nan nan
16430004 magina_2 amazon -1.06030 -57.05860 nan 51803.33000 high
16430005 magina_1 amazon -1.03830 -57.05670 nan nan nan
16440000 aldeia_do_chapeu amazon -0.94970 -57.16390 12500.00000 nan nan
16450000 cachoeira_alta amazon 0.91250 -57.17940 nan 0.85440 caution
16460000 caramujo amazon -1.06500 -57.06140 51700.00000 51803.90000 high
16470002 cumaru amazon -1.02970 -57.06750 nan nan nan
16480000 aldeia_wai-wai amazon -0.69470 -57.97470 nan 21582.92000 high
16500000 estirao_da_angelica amazon -1.10060 -57.05690 25800.00000 25722.10000 high
16560000 map-1 amazon -1.11920 -57.23390 nan 24771.61000 high
16600000 porto_trombetas amazon -1.45830 -56.38330 82900.00000 82690.01000 high
16620000 mae_cue amazon -1.46030 -56.70860 nan 79791.41000 high
16660000 ibdf amazon -1.37030 -56.85190 nan 79411.70000 high
16661000 tabuleiro__-__rebio_trombetas amazon -1.37060 -56.85190 790000.00000 nan nan
16670000 praia_rasa amazon -1.23220 -56.92310 nan 78135.64000 high
16700000 tirios amazon 2.22390 -55.95640 nan 698.69760 low
16800000 vista_alegre_-_conj_1 amazon -1.10140 -56.04000 34800.00000 34649.54000 high
16800002 vista_alegre_-_conj.2 amazon -1.13080 -56.05420 nan 34676.92000 high
16810080 carapana amazon -1.07500 -56.04170 nan 34590.66000 high
16820000 barracao_de_pedra amazon -1.05140 -56.06280 nan 34560.57000 high
16900000 oriximina amazon -1.77640 -55.86220 127000.00000 126530.80000 high
17050000 obidos_-_porto amazon -1.94720 -55.51110 nan 4719993.00000 high
17050001 obidos amazon -1.91920 -55.51310 4670000.00000 4720020.00000 high
17070000 sete_varas amazon -0.95000 -54.91670 nan 6601.03300 high
17090000 boca_do_inferno amazon -1.50310 -54.87280 19800.00000 19697.75000 high
17091000 fazenda_tucunare amazon -13.46080 -59.00780 4360.00000 4378.24400 high
17091600 pch_sacre_2_montante_1 amazon -13.02580 -58.18440 6397.00000 6766.90900 medium
17092800 aldeia_sacre_ii amazon -13.02640 -58.18530 6770.00000 6766.90900 high
17092900 utiariti amazon -13.03330 -58.28330 nan 4412.95400 high
17092950 fazenda_satelite amazon -13.08140 -58.17830 nan 6732.13000 high
17093000 fontanilhas amazon -11.35830 -58.34280 55900.00000 56060.27000 high
17095000 fazenda_tombador amazon -11.71810 -58.04810 24700.00000 25209.23000 high
17097000 gleba_agrosan amazon -11.32140 -58.12890 nan 27604.28000 high
17098000 fazenda_vale_do_tucana amazon -10.43860 -58.34720 nan 94408.38000 high
17100000 fazenda_taua amazon -13.38440 -56.61030 nan 14748.94000 high
17120000 porto_dos_gauchos amazon -11.53670 -57.42360 37100.00000 37201.39000 high
17121000 caiabis_(balsa_-_itapaiuna) amazon -10.98360 -57.06580 nan 9683.50000 high
17122000 rio_dos_peixes amazon -10.82310 -57.72720 14400.00000 14295.77000 high
17123000 rio_arinos amazon -10.63920 -58.00420 57100.00000 57317.65000 high
17130000 foz_do_juruena amazon -7.73110 -58.28080 182000.00000 184583.40000 high
17200000 porto_roncador amazon -13.55750 -55.33470 10800.00000 10878.80000 high
17210000 teles_pires amazon -12.67420 -55.79280 13900.00000 14221.56000 high
17230000 pch_canoa_quebrada_lucas_do_rio_verde amazon -13.05190 -55.90500 5435.00000 5437.38700 high
17280000 cachoeirao amazon -11.65170 -55.70250 34600.00000 34826.56000 high
17300000 fazenda_tratex amazon -10.95580 -55.55080 40700.00000 40887.80000 high
17340000 indeco amazon -10.11330 -55.57060 52200.00000 52574.70000 high
17343000 estrada_cuiaba_-_santarem amazon -10.21940 -54.97080 10738.00000 10919.86000 high
17345000 base_do_cachimbo amazon -9.35890 -54.90390 465.00000 493.68630 medium
17350000 cachimbo amazon -9.81720 -54.88580 1010.00000 1009.80300 high
17354800 pch_braco_norte_iv_jusante amazon -9.68640 -54.96530 1700.00000 nan nan
17355000 pch_braco_norte_jusante amazon -9.83860 -55.01920 3100.00000 3037.67700 high
17360000 estrada_cuiaba_-_santarem amazon -10.18330 -55.36670 nan 17423.19000 high
17380000 jusante_foz_peixoto_de_azevedo amazon -9.64060 -56.01940 81600.00000 82004.77000 high
17410000 santa_rosa amazon -8.85780 -57.40190 nan 131702.10000 high
17420000 tres_marias amazon -7.61470 -57.95030 138000.00000 139761.40000 high
17430000 barra_do_sao_manuel amazon -7.33970 -58.15530 333000.00000 336253.30000 high
17450000 missao_cururu amazon -7.38750 -57.93530 nan 7442.34300 high
17500000 fortaleza amazon -6.03510 -57.62920 nan 367727.20000 high
17610000 creporizao_(ex_-_mundico_coelho) amazon -6.81970 -56.85170 nan 6175.10600 high
17650002 acara_do_tapajos amazon -4.88640 -56.72310 nan 395046.60000 high
17660000 novo_progresso amazon -7.00940 -55.40720 nan 1.69630 caution
17670000 travessao_do_pataua amazon -7.02780 -56.22670 nan 10657.65000 high
17672000 garimpo_surubim amazon -6.73330 -56.15000 nan 11449.92000 high
17675000 jardim_do_ouro amazon -6.25750 -55.77250 37400.00000 37686.32000 high
17680000 jamanxim amazon -5.50000 -55.83330 40200.00000 40511.10000 high
17710000 bubure amazon -4.61560 -56.32500 450000.00000 nan nan
17730000 itaituba amazon -4.27560 -55.98220 458000.00000 464247.70000 high
18119000 uhe_curua-una_jusante amazon -2.80940 -54.29940 16200.00000 16572.31000 high
18121002 jusante_da_barragem_-_conj_1 amazon -2.78330 -54.26670 nan 16610.68000 high
18121006 barragem_-_conj.4 amazon -2.81560 -54.30170 nan 16565.61000 high
18150000 lajeiro amazon -0.96670 -54.43330 nan 7142.06800 high
18200000 arapari amazon -1.77890 -54.39720 12400.00000 12420.47000 high
18250000 uruara amazon -3.67720 -53.55420 2960.00000 2983.66600 high
18280000 apalai amazon 1.22080 -54.65690 nan 7108.55500 high
18295000 porto_puxuri amazon -0.21390 -53.84690 23900.00000 nan nan
18300000 fazenda_paquira amazon -0.41670 -53.68750 nan 28918.01000 high
18408900 passagem_da_br-309 amazon -14.61310 -54.01560 nan 660.90210 high
18409000 passagem_da_br-309 amazon -14.61110 -53.99860 706.00000 704.72790 high
18415000 pousada_matrinxa amazon -13.56920 -53.07610 11600.00000 11640.59000 high
18420000 fazenda_itaguacu amazon -13.14080 -54.44530 3840.00000 3862.06900 high
18422000 riacho_de_deus amazon -11.12720 -54.47670 11600.00000 11598.79000 high
18423000 consul amazon -12.36580 -54.48920 nan 8946.74300 high
18428000 santa_cruz_do_suia amazon -12.62190 -52.05890 3510.00000 3518.77000 high
18430000 passagem_br-080 amazon -10.77720 -53.09560 nan 140201.60000 high
18435000 rio_comandante_fontoura amazon -10.55470 -52.18330 5430.00000 5435.76600 high
18436000 jusante_rio_preto amazon -10.04720 -52.11440 nan 11939.46000 high
18460000 boa_sorte amazon -6.73580 -51.99530 210000.00000 213067.50000 high
18470000 uhe_sao_felix amazon -6.79780 -52.00060 nan 212800.90000 high
18480000 fazenda_rio_dourado amazon -8.32690 -51.46030 6860.00000 6873.92000 high
18500000 boa_esperanca amazon -6.74530 -51.77360 42400.00000 42451.74000 high
18510000 sao_felix_do_xingu amazon -6.60420 -52.05780 nan 257197.90000 high
18514000 uhe_pombal amazon -5.91780 -52.59080 nan 268804.90000 high
18520000 belo_horizonte amazon -5.39280 -52.87720 nan 283947.80000 high
18590000 manoel_jorge__(terra_preta) amazon -6.18720 -54.08360 56900.00000 57080.08000 high
18600000 laranjeiras amazon -5.69670 -54.24560 58700.00000 58887.61000 high
18620000 cachoeira_da_luz amazon -8.76670 -54.95000 nan 1103.19000 high
