year month day simulated_streamflow_m3s
1999 03 09 24409.7891
1999 03 10 24803.3457
1999 03 11 24584.7773
1999 03 12 24205.6270
1999 03 13 24310.6641
1999 03 14 24167.0391
1999 03 15 23639.7500
1999 03 16 23133.7480
1999 03 17 23087.5938
1999 03 18 23170.8633
1999 03 19 23717.2871
1999 03 20 24049.6582
1999 03 21 24169.2559
1999 03 22 24220.6797
1999 03 23 24549.1152
1999 03 24 24608.2539
1999 03 25 24398.3828
1999 03 26 23994.6797
1999 03 27 23517.8398
1999 03 28 23460.5020
1999 03 29 23247.8691
1999 03 30 22574.0469
1999 03 31 22053.4414
1999 04 01 21649.7324
1999 04 02 21105.0371
1999 04 03 20394.0039
1999 04 04 19719.5781
1999 04 05 19167.1855
1999 04 06 18579.1152
1999 04 07 17995.5664
1999 04 08 17494.6406
1999 04 09 17162.5684
1999 04 10 16732.4922
1999 04 11 16310.3564
1999 04 12 15983.4932
1999 04 13 15865.2373
1999 04 14 15811.4658
1999 04 15 15607.5479
1999 04 16 15311.9307
1999 04 17 15013.7148
1999 04 18 14750.5254
1999 04 19 14527.4209
1999 04 20 14382.8564
1999 04 21 14368.8057
1999 04 22 14390.4990
1999 04 23 14276.0264
1999 04 24 14168.4736
1999 04 25 14196.1025
1999 04 26 14548.5254
1999 04 27 14913.5107
1999 04 28 15409.0078
1999 04 29 15325.4639
1999 04 30 15104.7783
1999 05 01 14855.1729
1999 05 02 14639.9258
1999 05 03 14377.8887
1999 05 04 13968.1670
1999 05 05 13559.0586
1999 05 06 13190.6865
1999 05 07 12789.0498
1999 05 08 12629.9805
1999 05 09 12464.9170
1999 05 10 12192.4951
1999 05 11 12031.0244
1999 05 12 12035.1895
1999 05 13 12122.4756
1999 05 14 12335.0557
1999 05 15 12847.4893
1999 05 16 13780.7559
1999 05 17 14430.6221
1999 05 18 14610.9082
1999 05 19 14401.8369
1999 05 20 14006.3086
1999 05 21 13471.8232
1999 05 22 12886.2949
1999 05 23 12480.4922
1999 05 24 12108.3252
1999 05 25 11724.0928
1999 05 26 11285.0576
1999 05 27 10821.1865
1999 05 28 10372.8613
1999 05 29 9961.6045
1999 05 30 9591.9307
1999 05 31 9267.8477
1999 06 01 8972.4053
1999 06 02 8730.3359
1999 06 03 8503.9961
1999 06 04 8273.5752
1999 06 05 8060.2310
1999 06 06 7870.6338
1999 06 07 7703.0513
1999 06 08 7551.5107
1999 06 09 7413.7529
1999 06 10 7287.9463
1999 06 11 7172.1035
1999 06 12 7062.9556
1999 06 13 6957.7090
1999 06 14 6855.6396
1999 06 15 6758.2446
1999 06 16 6666.0688
1999 06 17 6579.8770
1999 06 18 6499.7773
1999 06 19 6436.8657
1999 06 20 6391.4995
1999 06 21 6332.2754
1999 06 22 6270.6211
1999 06 23 6217.8540
1999 06 24 6187.5142
1999 06 25 6179.0503
1999 06 26 6142.3320
1999 06 27 6070.4863
1999 06 28 5987.8164
1999 06 29 5909.7319
1999 06 30 5839.6084
1999 07 01 5773.1274
1999 07 02 5709.8765
1999 07 03 5650.0166
1999 07 04 5593.1631
1999 07 05 5538.8853
1999 07 06 5486.6724
1999 07 07 5436.1689
1999 07 08 5387.1299
1999 07 09 5339.1997
1999 07 10 5292.1167
1999 07 11 5245.7915
1999 07 12 5200.3276
1999 07 13 5155.8184
1999 07 14 5112.2568
1999 07 15 5069.8101
1999 07 16 5028.3076
1999 07 17 4987.6396
1999 07 18 4948.7944
1999 07 19 4914.7847
1999 07 20 4878.2002
1999 07 21 4838.9639
1999 07 22 4798.7690
1999 07 23 4758.7129
1999 07 24 4719.2378
1999 07 25 4680.4053
1999 07 26 4642.1665
1999 07 27 4604.4731
1999 07 28 4567.2856
1999 07 29 4530.5464
1999 07 30 4494.1934
1999 07 31 4458.1943
1999 08 01 4422.5415
1999 08 02 4387.2241
1999 08 03 4352.2095
1999 08 04 4317.4775
1999 08 05 4283.0376
1999 08 06 4248.9258
1999 08 07 4215.1768
1999 08 08 4181.8125
1999 08 09 4148.8354
1999 08 10 4117.6865
1999 08 11 4086.1104
1999 08 12 4054.5178
1999 08 13 4022.7651
1999 08 14 3992.8394
1999 08 15 3962.8699
1999 08 16 3936.1802
1999 08 17 3914.2314
1999 08 18 3893.2085
1999 08 19 3870.7000
1999 08 20 3843.1245
1999 08 21 3810.3262
1999 08 22 3775.4822
1999 08 23 3741.2478
1999 08 24 3708.3735
1999 08 25 3676.7581
1999 08 26 3646.1479
1999 08 27 3616.5740
1999 08 28 3592.3379
1999 08 29 3570.1851
1999 08 30 3544.0786
